name,source,status
CLKDLYBUF4S15D2,sky130_fd_sc_hd__clkdlybuf4s15_2,ok
CLKDLYBUF4S18D1,sky130_fd_sc_hd__clkdlybuf4s18_1,ok
CLKDLYBUF4S18D2,sky130_fd_sc_hd__clkdlybuf4s18_2,ok
CLKDLYBUF4S25D1,sky130_fd_sc_hd__clkdlybuf4s25_1,ok
CLKDLYBUF4S25D2,sky130_fd_sc_hd__clkdlybuf4s25_2,ok
CLKDLYBUF4S50D1,sky130_fd_sc_hd__clkdlybuf4s50_1,ok
CLKDLYBUF4S50D2,sky130_fd_sc_hd__clkdlybuf4s50_2,ok
CLKINVD1,sky130_fd_sc_hd__clkinv_1,ok
CLKINVD16,sky130_fd_sc_hd__clkinv_16,ok
CLKINVD2,sky130_fd_sc_hd__clkinv_2,ok
CLKINVD4,sky130_fd_sc_hd__clkinv_4,ok
CLKINVD8,sky130_fd_sc_hd__clkinv_8,ok
CLKINVLPD2,sky130_fd_sc_hd__clkinvlp_2,ok
CLKINVLPD4,sky130_fd_sc_hd__clkinvlp_4,ok
CONBD1,sky130_fd_sc_hd__conb_1,skip:non-FET-device(short)
DECAPD12,sky130_fd_sc_hd__decap_12,ok
DECAPD3,sky130_fd_sc_hd__decap_3,ok
DECAPD4,sky130_fd_sc_hd__decap_4,ok
DECAPD6,sky130_fd_sc_hd__decap_6,ok
DECAPD8,sky130_fd_sc_hd__decap_8,ok
DFBBND1,DFBBN,ok
DFBBND2,sky130_fd_sc_hd__dfbbn_2,ok
DFBBPD1,sky130_fd_sc_hd__dfbbp_1,ok
DFRBPD1,sky130_fd_sc_hd__dfrbp_1,ok
DFRBPD2,sky130_fd_sc_hd__dfrbp_2,ok
DFRTND1,sky130_fd_sc_hd__dfrtn_1,ok
DFRTPD1,sky130_fd_sc_hd__dfrtp_1,ok
DFRTPD2,sky130_fd_sc_hd__dfrtp_2,ok
DFRTPD4,sky130_fd_sc_hd__dfrtp_4,ok
DFSBPD1,sky130_fd_sc_hd__dfsbp_1,ok
DFSBPD2,sky130_fd_sc_hd__dfsbp_2,ok
DFSTPD1,sky130_fd_sc_hd__dfstp_1,ok
DFSTPD2,sky130_fd_sc_hd__dfstp_2,ok
DFSTPD4,sky130_fd_sc_hd__dfstp_4,ok
DFXBPD1,sky130_fd_sc_hd__dfxbp_1,ok
DFXBPD2,sky130_fd_sc_hd__dfxbp_2,ok
DFXTPD1,sky130_fd_sc_hd__dfxtp_1,ok
DFXTPD2,sky130_fd_sc_hd__dfxtp_2,ok
DFXTPD4,sky130_fd_sc_hd__dfxtp_4,ok
DIODED2,sky130_fd_sc_hd__diode_2,skip:non-FET-device(sky130_fd_pr__diode_pw2nd)
DLCLKPD1,sky130_fd_sc_hd__dlclkp_1,ok
DLCLKPD2,sky130_fd_sc_hd__dlclkp_2,ok
DLCLKPD4,sky130_fd_sc_hd__dlclkp_4,ok
DLRBND1,sky130_fd_sc_hd__dlrbn_1,ok
DLRBND2,sky130_fd_sc_hd__dlrbn_2,ok
DLRBPD1,sky130_fd_sc_hd__dlrbp_1,ok
DLRBPD2,sky130_fd_sc_hd__dlrbp_2,ok
DLRTND1,sky130_fd_sc_hd__dlrtn_1,ok
DLRTND2,sky130_fd_sc_hd__dlrtn_2,ok
DLRTND4,sky130_fd_sc_hd__dlrtn_4,ok
DLRTPD1,sky130_fd_sc_hd__dlrtp_1,ok
DLRTPD2,sky130_fd_sc_hd__dlrtp_2,ok
DLRTPD4,sky130_fd_sc_hd__dlrtp_4,ok
DLXBND1,sky130_fd_sc_hd__dlxbn_1,ok
DLXBND2,sky130_fd_sc_hd__dlxbn_2,ok
DLXBPD1,sky130_fd_sc_hd__dlxbp_1,ok
DLXTND1,sky130_fd_sc_hd__dlxtn_1,ok
DLXTND2,sky130_fd_sc_hd__dlxtn_2,ok
DLXTND4,sky130_fd_sc_hd__dlxtn_4,ok
DLXTPD1,sky130_fd_sc_hd__dlxtp_1,ok
DLYGATE4SD1D1,sky130_fd_sc_hd__dlygate4sd1_1,ok
DLYGATE4SD2D1,sky130_fd_sc_hd__dlygate4sd2_1,ok
DLYGATE4SD3D1,sky130_fd_sc_hd__dlygate4sd3_1,ok
DLYMETAL6S2SD1,sky130_fd_sc_hd__dlymetal6s2s_1,ok
DLYMETAL6S4SD1,sky130_fd_sc_hd__dlymetal6s4s_1,ok
DLYMETAL6S6SD1,sky130_fd_sc_hd__dlymetal6s6s_1,ok
EBUFND1,sky130_fd_sc_hd__ebufn_1,ok
EBUFND2,sky130_fd_sc_hd__ebufn_2,ok
EBUFND4,sky130_fd_sc_hd__ebufn_4,ok
EBUFND8,sky130_fd_sc_hd__ebufn_8,ok
EDFXBPD1,sky130_fd_sc_hd__edfxbp_1,ok
EDFXTPD1,sky130_fd_sc_hd__edfxtp_1,ok
EINVND0,sky130_fd_sc_hd__einvn_0,ok
EINVND1,sky130_fd_sc_hd__einvn_1,ok
EINVND2,sky130_fd_sc_hd__einvn_2,ok
EINVND4,sky130_fd_sc_hd__einvn_4,ok
EINVND8,sky130_fd_sc_hd__einvn_8,ok
EINVPD1,sky130_fd_sc_hd__einvp_1,ok
EINVPD2,sky130_fd_sc_hd__einvp_2,ok
EINVPD4,sky130_fd_sc_hd__einvp_4,ok
EINVPD8,sky130_fd_sc_hd__einvp_8,ok
FAD1,sky130_fd_sc_hd__fa_1,ok
FAD2,sky130_fd_sc_hd__fa_2,ok
FAD4,sky130_fd_sc_hd__fa_4,ok
FAHD1,sky130_fd_sc_hd__fah_1,ok
FAHCIND1,sky130_fd_sc_hd__fahcin_1,ok
FAHCOND1,sky130_fd_sc_hd__fahcon_1,ok
FILLD1,sky130_fd_sc_hd__fill_1,ok
FILLD2,sky130_fd_sc_hd__fill_2,ok
FILLD4,sky130_fd_sc_hd__fill_4,ok
FILLD8,sky130_fd_sc_hd__fill_8,ok
HAD1,sky130_fd_sc_hd__ha_1,ok
HAD2,sky130_fd_sc_hd__ha_2,ok
HAD4,sky130_fd_sc_hd__ha_4,ok
INVD1,sky130_fd_sc_hd__inv_1,ok
INVD12,sky130_fd_sc_hd__inv_12,ok
INVD16,sky130_fd_sc_hd__inv_16,ok
INVD2,sky130_fd_sc_hd__inv_2,ok
INVD4,sky130_fd_sc_hd__inv_4,ok
INVD6,sky130_fd_sc_hd__inv_6,ok
INVD8,sky130_fd_sc_hd__inv_8,ok
LPFLOW_BLEEDERD1,sky130_fd_sc_hd__lpflow_bleeder_1,ok
LPFLOW_CLKBUFKAPWRD1,sky130_fd_sc_hd__lpflow_clkbufkapwr_1,ok:collapsed:KAPWR
LPFLOW_CLKBUFKAPWRD16,sky130_fd_sc_hd__lpflow_clkbufkapwr_16,ok:collapsed:KAPWR
LPFLOW_CLKBUFKAPWRD2,sky130_fd_sc_hd__lpflow_clkbufkapwr_2,ok:collapsed:KAPWR
LPFLOW_CLKBUFKAPWRD4,sky130_fd_sc_hd__lpflow_clkbufkapwr_4,ok:collapsed:KAPWR
LPFLOW_CLKBUFKAPWRD8,sky130_fd_sc_hd__lpflow_clkbufkapwr_8,ok:collapsed:KAPWR
LPFLOW_CLKINVKAPWRD1,sky130_fd_sc_hd__lpflow_clkinvkapwr_1,ok:collapsed:KAPWR
LPFLOW_CLKINVKAPWRD16,sky130_fd_sc_hd__lpflow_clkinvkapwr_16,ok:collapsed:KAPWR
LPFLOW_CLKINVKAPWRD2,sky130_fd_sc_hd__lpflow_clkinvkapwr_2,ok:collapsed:KAPWR
LPFLOW_CLKINVKAPWRD4,sky130_fd_sc_hd__lpflow_clkinvkapwr_4,ok:collapsed:KAPWR
LPFLOW_CLKINVKAPWRD8,sky130_fd_sc_hd__lpflow_clkinvkapwr_8,ok:collapsed:KAPWR
LPFLOW_DECAPKAPWRD12,sky130_fd_sc_hd__lpflow_decapkapwr_12,ok:collapsed:KAPWR
LPFLOW_DECAPKAPWRD3,sky130_fd_sc_hd__lpflow_decapkapwr_3,ok:collapsed:KAPWR
LPFLOW_DECAPKAPWRD4,sky130_fd_sc_hd__lpflow_decapkapwr_4,ok:collapsed:KAPWR
LPFLOW_DECAPKAPWRD6,sky130_fd_sc_hd__lpflow_decapkapwr_6,ok:collapsed:KAPWR
LPFLOW_DECAPKAPWRD8,sky130_fd_sc_hd__lpflow_decapkapwr_8,ok:collapsed:KAPWR
LPFLOW_INPUTISO0ND1,sky130_fd_sc_hd__lpflow_inputiso0n_1,ok
LPFLOW_INPUTISO0PD1,sky130_fd_sc_hd__lpflow_inputiso0p_1,ok
LPFLOW_INPUTISO1ND1,sky130_fd_sc_hd__lpflow_inputiso1n_1,ok
LPFLOW_INPUTISO1PD1,sky130_fd_sc_hd__lpflow_inputiso1p_1,ok
LPFLOW_INPUTISOLATCHD1,sky130_fd_sc_hd__lpflow_inputisolatch_1,ok
LPFLOW_ISOBUFSRCD1,sky130_fd_sc_hd__lpflow_isobufsrc_1,ok
LPFLOW_ISOBUFSRCD16,sky130_fd_sc_hd__lpflow_isobufsrc_16,ok
LPFLOW_ISOBUFSRCD2,sky130_fd_sc_hd__lpflow_isobufsrc_2,ok
LPFLOW_ISOBUFSRCD4,sky130_fd_sc_hd__lpflow_isobufsrc_4,ok
LPFLOW_ISOBUFSRCD8,sky130_fd_sc_hd__lpflow_isobufsrc_8,ok
LPFLOW_ISOBUFSRCKAPWRD16,sky130_fd_sc_hd__lpflow_isobufsrckapwr_16,ok:collapsed:KAPWR
LPFLOW_LSBUF_LH_HL_ISOWELL_TAPD1,sky130_fd_sc_hd__lpflow_lsbuf_lh_hl_isowell_tap_1,ok:collapsed:VPWRIN
LPFLOW_LSBUF_LH_HL_ISOWELL_TAPD2,sky130_fd_sc_hd__lpflow_lsbuf_lh_hl_isowell_tap_2,ok:collapsed:VPWRIN
LPFLOW_LSBUF_LH_HL_ISOWELL_TAPD4,sky130_fd_sc_hd__lpflow_lsbuf_lh_hl_isowell_tap_4,ok:collapsed:VPWRIN
LPFLOW_LSBUF_LH_ISOWELLD4,sky130_fd_sc_hd__lpflow_lsbuf_lh_isowell_4,ok:collapsed:LOWLVPWR
LPFLOW_LSBUF_LH_ISOWELL_TAPD1,sky130_fd_sc_hd__lpflow_lsbuf_lh_isowell_tap_1,ok:collapsed:LOWLVPWR
LPFLOW_LSBUF_LH_ISOWELL_TAPD2,sky130_fd_sc_hd__lpflow_lsbuf_lh_isowell_tap_2,ok:collapsed:LOWLVPWR
LPFLOW_LSBUF_LH_ISOWELL_TAPD4,sky130_fd_sc_hd__lpflow_lsbuf_lh_isowell_tap_4,ok:collapsed:LOWLVPWR
MACRODsparecell,sky130_fd_sc_hd__macro_sparecell,skip:non-FET-device(sky130_fd_sc_hd__nand2_2)
MAJ3D1,sky130_fd_sc_hd__maj3_1,ok
MAJ3D2,sky130_fd_sc_hd__maj3_2,ok
MAJ3D4,sky130_fd_sc_hd__maj3_4,ok
MUX2D1,sky130_fd_sc_hd__mux2_1,ok
MUX2D2,sky130_fd_sc_hd__mux2_2,ok
MUX2D4,sky130_fd_sc_hd__mux2_4,ok
MUX2D8,sky130_fd_sc_hd__mux2_8,ok
MUX2ID1,sky130_fd_sc_hd__mux2i_1,ok
MUX2ID2,sky130_fd_sc_hd__mux2i_2,ok
MUX2ID4,sky130_fd_sc_hd__mux2i_4,ok
MUX4D1,sky130_fd_sc_hd__mux4_1,ok
MUX4D2,sky130_fd_sc_hd__mux4_2,ok
MUX4D4,sky130_fd_sc_hd__mux4_4,ok
NAND2D1,sky130_fd_sc_hd__nand2_1,ok
NAND2D2,sky130_fd_sc_hd__nand2_2,ok
NAND2D4,sky130_fd_sc_hd__nand2_4,ok
NAND2D8,sky130_fd_sc_hd__nand2_8,ok
NAND2BD1,sky130_fd_sc_hd__nand2b_1,ok
