name,source,status
TAPVGND2D1,sky130_fd_sc_hd__tapvgnd2_1,ok
TAPVPWRVGNDD1,sky130_fd_sc_hd__tapvpwrvgnd_1,ok
XNOR2D1,sky130_fd_sc_hd__xnor2_1,ok
XNOR2D2,sky130_fd_sc_hd__xnor2_2,ok
XNOR2D4,sky130_fd_sc_hd__xnor2_4,ok
XNOR3D1,sky130_fd_sc_hd__xnor3_1,ok
XNOR3D2,sky130_fd_sc_hd__xnor3_2,ok
XNOR3D4,sky130_fd_sc_hd__xnor3_4,ok
XOR2D1,sky130_fd_sc_hd__xor2_1,ok
XOR2D2,sky130_fd_sc_hd__xor2_2,ok
XOR2D4,sky130_fd_sc_hd__xor2_4,ok
XOR3D1,sky130_fd_sc_hd__xor3_1,ok
XOR3D2,sky130_fd_sc_hd__xor3_2,ok
XOR3D4,sky130_fd_sc_hd__xor3_4,ok
